1,A,A,СЕЛСКО ГОРСКО И РИБНО СТОПАНСТВО,0
2,1,1,Растениевъдство животновъдство и лов спомагателни дейности,1
3,01.1,11,Отглеждане на едногодишни растения,11
4,01.11,111,Отглеждане на зърнени без ориз и бобови растения и маслодайни семена,111
5,01.12,112,Отглеждане на ориз,112
6,01.13,113,Отглеждане на зеленчуци дини и пъпеши кореноплодни и грудкови,113
7,01.14,114,Отглеждане на захарна тръстика,114
8,01.15,115,Отглеждане на тютюн,115
9,01.16,116,Отглеждане на влакнодайни растения,116
10,01.19,119,Отглеждане на други едногодишни растения,119
11,01.2,12,Отглеждане на многогодишни насаждения,12
12,01.21,121,Отглеждане на грозде,121
13,01.22,122,Отглеждане на тропични и субтропични плодове,122
14,01.23,123,Отглеждане на цитрусови плодове,123
15,01.24,124,Отглеждане на семкови и костилкови плодове,124
16,01.25,125,Отглеждане на черупкови ягодоплодни и други плодове,125
17,01.26,126,Отглеждане на маслосъдържащи плодове,126
18,01.27,127,Отглеждане на растения за напитки,127
19,01.28,128,Отглеждане на подправки етеричномаслени и лечебни растения,128
20,01.29,129,Отглеждане на други многогодишни насаждения,129
21,01.3,13,Дейности на разсадници без горските,13
22,01.30,130,Дейности на разсадници без горските,130
23,01.4,14,Животновъдство,14
24,01.41,141,Отглеждане на едър рогат добитък с млечно направление,141
25,01.42,142,Отглеждане на едър рогат добитък с друго направление,142
26,01.43,143,Отглеждане на коне магарета мулета и катъри,143
27,01.44,144,Отглеждане на камили лами и подобни животни,144
28,01.45,145,Отглеждане на дребен рогат добитък,145
29,01.46,146,Отглеждане на свине,146
30,01.47,147,Отглеждане на домашни птици,147
31,01.49,149,Отглеждане на други животни,149
32,01.5,15,Комбинирано растениевъдно животновъдно стопанствово,15
33,01.50,150,Комбинирано растениевъдно животновъдно стопанство,150
34,01.6,16,Спомагателни дейности в селското стопанство,16
35,01.61,161,Спомагателни дейности в растениевъдството,161
36,01.62,162,Спомагателни дейности в животновъдството,162
37,01.63,163,Дейности след прибиране на реколтата,163
38,01.64,164,Обработка на семена за посев,164
39,01.7,17,Лов и спомагателни дейности,17
40,01.70,170,Лов и спомагателни дейности,170
41,2,2,Горско стопанство,2
42,02.1,21,Възпроизводство на гори,21
43,02.10,210,Възпроизводство на гори,210
44,02.2,22,Дърводобив,22
45,02.20,220,Дърводобив,220
46,02.3,23,Събиране на диворастящи и недървесни продукти,23
47,02.30,230,Събиране на диворастящи и недървесни продукти,230
48,02.4,24,Спомагателни дейности в горското стопанство,24
49,02.40,240,Спомагателни дейности в горското стопанство,240
50,3,3,Рибно стопанство,3
51,03.1,31,Риболов,31
52,03.11,311,Океански и морски риболов,311
53,03.12,312,Сладководен риболов,312
54,03.2,32,Развъждане и отглеждане на риба и други водни организми,32
55,03.21,321,Развъждане и отглеждане на риба и други водни организми в солени басейни,321
56,03.22,322,Развъждане и отглеждане на риба и други водни организми в сладководни басейни,322
57,B,B,ДОБИВНА ПРОМИШЛЕНОСТ,0
58,5,5,Добив на въглища,5
59,05.1,51,Добив на антрацитни и черни въглища,51
60,05.10,510,Добив на антрацитни и черни въглища,510
61,05.2,52,Добив на кафяви и лигнитни въглища,52
62,05.20,520,Добив на кафяви и лигнитни въглища,520
63,6,6,Добив на нефт и природен газ,6
64,06.1,61,Добив на нефт,61
65,06.10,610,Добив на нефт,610
66,06.2,62,Добив на природен газ,62
67,06.20,620,Добив на природен газ,620
68,7,7,Добив на метални руди,7
69,07.1,71,Добив на железни руди,71
70,07.10,710,Добив на железни руди,710
71,07.2,72,Добив на уранови ториеви и руди на цветни метали,72
72,07.21,721,Добив на уранови и ториеви руди,721
73,07.29,729,Добив на руди на цветни метали,729
74,8,8,Добив на неметални материали и суровини,8
75,08.1,81,Добив на скални материали пясък и глина,81
76,08.11,811,Добив на строителни и декоративни скални материали варовик суров гипс креда доломит и шисти,811
77,08.12,812,Добив на трошен камък чакъл и пясък добив на глина и каолин,812
78,08.9,89,Добив на други неметални материали и суровини,89
79,08.91,891,Добив на минерални суровини за химическото производство и на естествени торове,891
80,08.92,892,Добив на торф,892
81,08.93,893,Добив на сол,893
82,08.99,899,Добив на други неметални материали и суровини некласифицирани другаде,899
83,9,9,Спомагателни дейности в добива,9
84,09.1,91,Спомагателни дейности в добива на нефт и природен газ,91
85,09.10,910,Спомагателни дейности в добива на нефт и природен газ,910
86,09.9,99,Спомагателни дейности в добива без добива на нефт и природен газ,99
87,09.90,990,Спомагателни дейности в добива без добива на нефт и природен газ,990
88,C,C,ПРЕРАБОТВАЩА ПРОМИШЛЕНОСТ,0
89,10,10,Производство на хранителни продукти,10
90,10.1,101,Производство и преработка на месо производство на месни продукти без готови ястия,101
91,10.11,1011,Производство и преработка на месо без месо от домашни птици,1011
92,10.12,1012,Производство и преработка на месо от домашни птици,1012
93,10.13,1013,Производство на месни продукти без готови  ястия,1013
94,10.2,102,Преработка и консервиране на риба и други водни животни без готови ястия,102
95,10.20,1020,Преработка и консервиране на риба и други водни животни без готови ястия,1020
96,10.3,103,Преработка и консервиране на плодове и зеленчуци без готови  ястия,103
97,10.31,1031,Преработка и консервиране на картофи,1031
98,10.32,1032,Производство на плодови и зеленчукови сокове,1032
99,10.39,1039,Преработка и консервиране на други плодове и зеленчуци без готови  ястия,1039
100,10.4,104,Производство на растителни и животински масла и мазнини,104
101,10.41,1041,Производство на растителни и животински масла и мазнини без маргарин,1041
102,10.42,1042,Производство на маргарин и подобни хранителни мазнини,1042
103,10.5,105,Производство на мляко и млечни продукти,105
104,10.51,1051,Производство на мляко и млечни продукти без сладолед,1051
105,10.52,1052,Производство на сладолед,1052
106,10.6,106,Производство на мелничарски продукти нишесте и нишестени продукти,106
107,10.61,1061,Производство на мелничарски продукти,1061
108,10.62,1062,Производство на нишесте и нишестени продукти,1062
109,10.7,107,Производство на хлебни и тестени изделия,107
110,10.71,1071,Производство на хляб хлебни и пресни сладкарски изделия,1071
111,10.72,1072,Производство на сухари бисквити и сухи сладкарски изделия,1072
112,10.73,1073,Производство на макарони юфка кус кус и подобни макаронени изделия,1073
113,10.8,108,Производство на други хранителни продукти,108
114,10.81,1081,Производство на захар,1081
115,10.82,1082,Производство на какао шоколадови и захарни изделия,1082
116,10.83,1083,Преработка на кафе и чай,1083
117,10.84,1084,Производство на хранителни подправки и овкусители,1084
118,10.85,1085,Производство на готови  ястия,1085
119,10.86,1086,Производство на детски диетични и други хомогенизирани храни,1086
120,10.89,1089,Производство на други хранителни продукти некласифицирани другаде,1089
121,10.9,109,Производство на готови храни за животни,109
122,10.91,1091,Производство на готови храни фуражи за селскостопански животни,1091
123,10.92,1092,Производство на готови храни за домашни любимци,1092
124,11,11,Производство на напитки,11
125,11.0,110,Производство на напитки,110
126,11.01,1101,Производство на спиртни напитки,1101
127,11.02,1102,Производство на вина от грозде,1102
128,11.03,1103,Производство на други ферментирали напитки,1103
129,11.04,1104,Производство на други недестилирани алкохолни напитки,1104
130,11.05,1105,Производство на пиво,1105
131,11.06,1106,Производство на малц,1106
132,11.07,1107,Производство на безалкохолни напитки минерални и други бутилирани води,1107
133,12,12,Производство на тютюневи изделия,12
134,12.0,120,Производство на тютюневи изделия,120
135,12.00,1200,Производство на тютюневи изделия,1200
136,13,13,Производство на текстил и изделия от текстил без облекло,13
137,13.1,131,Подготовка и предене на текстилни влакна,131
138,13.10,1310,Подготовка и предене на текстилни влакна,1310
139,13.2,132,Производство на тъкани,132
140,13.20,1320,Производство на тъкани,1320
141,13.3,133,Облагородяване на прежди платове и облекло,133
142,13.30,1330,Облагородяване на прежди платове и облекло,1330
143,13.9,139,Производство на други текстилни изделия,139
144,13.91,1391,Производство на плетени платове,1391
145,13.92,1392,Производство на конфекционирани текстилни изделия без облекло,1392
146,13.93,1393,Производство на килими и текстилни подови настилки,1393
147,13.94,1394,Производство на канапи въжета мрежи и изделия от тях,1394
148,13.95,1395,Производство на нетъкани текстилни изделия без облекло,1395
